[2026-07-03 22:15:12,962 INFO] Batch size: 16
[2026-07-03 22:15:12,962 INFO] The number of training instances: 80000
[2026-07-03 22:15:13,336 INFO] Start training.
  0%|          | 0/4 [00:00<?, ?it/s][2026-07-03 22:15:13,337 INFO] 4
[2026-07-03 22:22:41,269 INFO] Epoch id: 3, Training steps: 400, Avg loss: 0.000
[2026-07-03 22:22:45,521 INFO] Epoch id: 3, Training steps: 500, Avg loss: 0.000
[2026-07-03 22:22:49,057 INFO] Epoch id: 3, Training steps: 600, Avg loss: 0.000
[2026-07-03 22:22:53,240 INFO] Epoch id: 3, Training steps: 700, Avg loss: 0.000
[2026-07-03 22:22:56,809 INFO] Epoch id: 3, Training steps: 800, Avg loss: 0.000
[2026-07-03 22:23:01,139 INFO] Epoch id: 3, Training steps: 900, Avg loss: 0.000
[2026-07-03 22:23:07,110 INFO] Epoch id: 3, Training steps: 1000, Avg loss: 0.000
[2026-07-03 22:23:11,268 INFO] Epoch id: 3, Training steps: 1100, Avg loss: 0.000
[2026-07-03 22:23:14,866 INFO] Epoch id: 3, Training steps: 1200, Avg loss: 0.000
[2026-07-03 22:23:18,447 INFO] Epoch id: 3, Training steps: 1300, Avg loss: 0.000
[2026-07-03 22:23:24,139 INFO] Epoch id: 3, Training steps: 1400, Avg loss: 0.000
[2026-07-03 22:23:27,604 INFO] Epoch id: 3, Training steps: 1500, Avg loss: 0.000
[2026-07-03 22:23:31,838 INFO] Epoch id: 3, Training steps: 1600, Avg loss: 0.000
[2026-07-03 22:23:36,691 INFO] Epoch id: 3, Training steps: 1700, Avg loss: 0.000
[2026-07-03 22:23:42,466 INFO] Epoch id: 3, Training steps: 1800, Avg loss: 0.000
[2026-07-03 22:23:46,832 INFO] Epoch id: 3, Training steps: 1900, Avg loss: 0.000
[2026-07-03 22:23:52,394 INFO] Epoch id: 3, Training steps: 2000, Avg loss: 0.000
[2026-07-03 22:23:57,360 INFO] Epoch id: 3, Training steps: 2100, Avg loss: 0.000
[2026-07-03 22:24:01,477 INFO] Epoch id: 3, Training steps: 2200, Avg loss: 0.000
[2026-07-03 22:24:07,324 INFO] Epoch id: 3, Training steps: 2300, Avg loss: 0.000
[2026-07-03 22:24:13,415 INFO] Epoch id: 3, Training steps: 2400, Avg loss: 0.000
[2026-07-03 22:24:17,742 INFO] Epoch id: 3, Training steps: 2500, Avg loss: 0.000
[2026-07-03 22:24:21,218 INFO] Epoch id: 3, Training steps: 2600, Avg loss: 0.000
[2026-07-03 22:24:24,660 INFO] Epoch id: 3, Training steps: 2700, Avg loss: 0.000
[2026-07-03 22:24:28,164 INFO] Epoch id: 3, Training steps: 2800, Avg loss: 0.000
[2026-07-03 22:24:31,596 INFO] Epoch id: 3, Training steps: 2900, Avg loss: 0.000
[2026-07-03 22:24:35,076 INFO] Epoch id: 3, Training steps: 3000, Avg loss: 0.000
[2026-07-03 22:24:39,458 INFO] Epoch id: 3, Training steps: 3100, Avg loss: 0.000
[2026-07-03 22:24:45,612 INFO] Epoch id: 3, Training steps: 3200, Avg loss: 0.000
[2026-07-03 22:24:49,321 INFO] Epoch id: 3, Training steps: 3300, Avg loss: 0.000
[2026-07-03 22:24:55,079 INFO] Epoch id: 3, Training steps: 3400, Avg loss: 0.000
[2026-07-03 22:24:59,304 INFO] Epoch id: 3, Training steps: 3500, Avg loss: 0.000
[2026-07-03 22:25:02,757 INFO] Epoch id: 3, Training steps: 3600, Avg loss: 0.000
[2026-07-03 22:25:06,151 INFO] Epoch id: 3, Training steps: 3700, Avg loss: 0.000
[2026-07-03 22:25:11,005 INFO] Epoch id: 3, Training steps: 3800, Avg loss: 0.000
[2026-07-03 22:25:15,348 INFO] Epoch id: 3, Training steps: 3900, Avg loss: 0.000
[2026-07-03 22:25:21,613 INFO] Epoch id: 3, Training steps: 4000, Avg loss: 0.000
[2026-07-03 22:25:25,927 INFO] Epoch id: 3, Training steps: 4100, Avg loss: 0.000
[2026-07-03 22:25:30,122 INFO] Epoch id: 3, Training steps: 4200, Avg loss: 0.000
[2026-07-03 22:25:34,311 INFO] Epoch id: 3, Training steps: 4300, Avg loss: 0.000
[2026-07-03 22:25:39,188 INFO] Epoch id: 3, Training steps: 4400, Avg loss: 0.000
[2026-07-03 22:25:44,996 INFO] Epoch id: 3, Training steps: 4500, Avg loss: 0.000
[2026-07-03 22:25:49,288 INFO] Epoch id: 3, Training steps: 4600, Avg loss: 0.000
[2026-07-03 22:25:54,827 INFO] Epoch id: 3, Training steps: 4700, Avg loss: 0.000
